session_id,user_id,age_group,gender,device,traffic_source,landing_page,session_duration_sec,pages_visited,bounce,conversion
77,1366,25-34,Female,Mobile,Referral,Homepage,53,12,1,1
78,1955,55+,Female,Mobile,Organic Search,Cart,88,5,0,1
79,1454,25-34,Male,Mobile,Direct,Homepage,9,5,0,1
80,1427,25-34,Male,Desktop,Organic Search,Blog,117,7,0,1
81,1508,25-34,Female,Tablet,Paid Ads,Product Page,242,5,0,1
82,1775,18-24,Male,Mobile,Organic Search,Homepage,129,4,1,1
83,1942,25-34,Male,Mobile,Organic Search,Product Page,13,6,0,1
84,1034,25-34,Male,Mobile,Social Media,Product Page,104,6,0,0
85,1205,18-24,Female,Mobile,Referral,Pricing,222,8,0,1
86,1080,35-44,Female,Mobile,Organic Search,Blog,10,6,1,1
87,1931,25-34,Female,Mobile,Direct,Homepage,11,6,1,1
88,1561,45-54,Female,Desktop,Organic Search,Homepage,83,7,0,0
89,1871,45-54,Female,Mobile,Paid Ads,Product Page,39,3,1,1
90,1387,18-24,Female,Mobile,Organic Search,Homepage,491,6,1,1
91,1001,35-44,Female,Desktop,Paid Ads,Product Page,156,6,0,1
92,1389,25-34,Male,Mobile,Social Media,Cart,60,6,0,0
93,1565,45-54,Female,Desktop,Social Media,Product Page,219,6,1,1
94,1105,18-24,Female,Desktop,Paid Ads,Blog,84,6,0,1
95,1771,35-44,Female,Desktop,Paid Ads,Blog,25,4,1,1
96,1821,35-44,Male,Mobile,Direct,Pricing,48,4,0,0
97,1476,25-34,Male,Mobile,Organic Search,Homepage,185,5,1,1
98,1702,18-24,Female,Desktop,Social Media,Blog,9,2,0,1
99,1401,35-44,Female,Desktop,Social Media,Pricing,57,7,0,1
100,1729,35-44,Female,Mobile,Social Media,Homepage,42,2,1,1
101,1555,25-34,Male,Mobile,Social Media,Product Page,40,2,0,1
102,1161,35-44,Female,Mobile,Organic Search,Cart,206,4,0,1
103,1201,25-34,Female,Mobile,Direct,Blog,314,5,0,1
104,1957,35-44,Female,Mobile,Direct,Homepage,226,3,0,1
105,1995,18-24,Female,Mobile,Organic Search,Product Page,186,4,0,1
106,1269,45-54,Female,Mobile,Social Media,Product Page,446,5,0,1
107,1862,25-34,Female,Desktop,Social Media,Product Page,10,6,1,1
108,1815,25-34,Female,Mobile,Direct,Product Page,32,5,0,1
109,1270,18-24,Other,Desktop,Organic Search,Homepage,96,5,0,0
110,1455,18-24,Male,Desktop,Direct,Blog,83,6,0,1
111,1461,25-34,Male,Mobile,Organic Search,Blog,97,7,1,1
112,1726,25-34,Other,Desktop,Social Media,Pricing,41,5,1,0
113,1251,45-54,Female,Desktop,Direct,Homepage,29,3,0,1
114,1701,18-24,Female,Mobile,Direct,Pricing,128,6,0,1
115,1295,25-34,Female,Mobile,Organic Search,Homepage,473,6,0,1
116,1724,25-34,Male,Mobile,Social Media,Product Page,89,4,0,1
117,1719,18-24,Female,Tablet,Paid Ads,Cart,7,4,0,1
118,1748,18-24,Female,Desktop,Organic Search,Product Page,220,4,0,1
119,1337,25-34,Male,Mobile,Referral,Homepage,61,3,0,1
120,1878,25-34,Male,Desktop,Direct,Homepage,50,4,0,0
121,1052,25-34,Female,Mobile,Direct,Product Page,70,6,0,1
122,1791,25-34,Male,Mobile,Organic Search,Blog,231,6,0,1
123,1921,25-34,Female,Desktop,Organic Search,Cart,307,1,0,1
124,1216,18-24,Male,Mobile,Paid Ads,Blog,159,5,1,0
125,1763,25-34,Female,Desktop,Social Media,Pricing,70,2,0,0
126,1187,55+,Other,Desktop,Organic Search,Blog,66,6,0,1
127,1379,25-34,Female,Desktop,Direct,Pricing,23,7,0,1
128,1492,35-44,Male,Mobile,Organic Search,Homepage,487,5,0,1
129,1040,25-34,Female,Desktop,Direct,Cart,182,1,0,0
130,1156,35-44,Male,Tablet,Direct,Product Page,4,6,1,1
131,1014,35-44,Male,Mobile,Referral,Cart,195,5,0,1
132,1812,25-34,Other,Mobile,Direct,Homepage,106,3,0,1
133,1064,55+,Female,Mobile,Organic Search,Blog,647,5,0,1
134,1856,18-24,Female,Desktop,Social Media,Blog,307,3,0,1
135,1838,18-24,Male,Desktop,Direct,Cart,33,6,1,1
136,1520,35-44,Male,Mobile,Social Media,Blog,229,6,0,1
137,1343,45-54,Male,Desktop,Paid Ads,Product Page,119,5,0,1
138,1128,18-24,Female,Mobile,Direct,Product Page,37,6,0,0
139,1647,25-34,Female,Desktop,Organic Search,Product Page,215,3,0,1
140,1471,18-24,Female,Mobile,Referral,Homepage,142,11,1,1
141,1062,25-34,Female,Mobile,Organic Search,Homepage,5,4,1,1
142,1138,35-44,Male,Mobile,Organic Search,Homepage,187,2,0,1
143,1498,25-34,Male,Mobile,Direct,Product Page,181,8,1,1
144,1592,25-34,Male,Desktop,Referral,Cart,28,4,0,1
145,1391,25-34,Male,Mobile,Social Media,Cart,77,1,0,1
146,1674,18-24,Male,Mobile,Organic Search,Homepage,158,8,0,0
147,1418,25-34,Other,Mobile,Social Media,Homepage,26,5,1,1
148,1288,35-44,Male,Mobile,Organic Search,Homepage,344,3,0,1
149,1378,55+,Other,Desktop,Organic Search,Homepage,5,5,0,1
150,1772,45-54,Male,Desktop,Organic Search,Homepage,19,6,0,0
151,1489,18-24,Other,Mobile,Direct,Product Page,22,5,1,1
152,1230,45-54,Female,Mobile,Paid Ads,Product Page,135,5,0,1
153,1040,35-44,Other,Mobile,Organic Search,Product Page,174,2,0,1
154,1027,35-44,Male,Tablet,Organic Search,Product Page,93,4,0,1
155,1134,25-34,Female,Tablet,Referral,Product Page,61,5,0,1
156,1200,25-34,Other,Desktop,Direct,Blog,298,4,0,1
157,1839,25-34,Male,Tablet,Paid Ads,Pricing,12,5,0,1
158,1779,18-24,Male,Desktop,Organic Search,Product Page,59,1,0,1
159,1929,18-24,Male,Desktop,Organic Search,Homepage,7,6,0,1
160,1032,18-24,Other,Mobile,Social Media,Homepage,2,4,1,1
161,1047,25-34,Female,Mobile,Direct,Homepage,78,8,1,1
162,1502,35-44,Female,Mobile,Social Media,Product Page,39,4,0,1
163,1406,25-34,Male,Mobile,Social Media,Homepage,56,4,0,1
164,1573,18-24,Male,Desktop,Organic Search,Product Page,309,7,0,1
165,1727,55+,Female,Mobile,Social Media,Homepage,32,5,0,1
166,1804,45-54,Male,Mobile,Direct,Blog,272,3,0,1
167,1098,35-44,Female,Mobile,Social Media,Homepage,202,4,1,1
168,1683,55+,Other,Mobile,Direct,Product Page,71,8,0,1
169,1871,25-34,Male,Mobile,Social Media,Homepage,142,2,1,1
170,1725,55+,Female,Tablet,Organic Search,Homepage,105,7,0,1
171,1986,18-24,Male,Desktop,Organic Search,Pricing,24,8,0,1
172,1546,25-34,Female,Desktop,Social Media,Blog,427,7,1,1
173,1960,18-24,Male,Mobile,Organic Search,Homepage,151,6,0,1
174,1738,18-24,Female,Mobile,Direct,Blog,382,9,0,1
175,1612,18-24,Male,Mobile,Referral,Product Page,312,4,0,1
176,1942,35-44,Female,Desktop,Social Media,Product Page,14,3,0,1
177,1461,35-44,Female,Mobile,Organic Search,Product Page,41,4,1,1
178,1642,25-34,Male,Mobile,Paid Ads,Pricing,28,4,0,1
179,1768,18-24,Female,Desktop,Organic Search,Homepage,319,4,0,1
180,1004,45-54,Male,Mobile,Organic Search,Product Page,357,4,1,1
181,1217,35-44,Female,Mobile,Social Media,Product Page,135,6,0,1
182,1502,25-34,Male,Mobile,Direct,Blog,19,2,0,1
183,1766,35-44,Female,Mobile,Organic Search,Cart,26,5,1,1
184,1397,25-34,Male,Mobile,Social Media,Pricing,302,3,0,1
185,1870,25-34,Male,Mobile,Social Media,Blog,476,4,0,0
186,1794,45-54,Male,Desktop,Organic Search,Cart,40,5,1,0
187,1392,25-34,Female,Desktop,Organic Search,Blog,2,9,0,1
188,1206,25-34,Male,Mobile,Direct,Blog,72,3,1,1
189,1014,45-54,Female,Desktop,Direct,Cart,5,5,0,0
190,1857,35-44,Female,Mobile,Organic Search,Homepage,316,5,1,1
191,1553,18-24,Male,Mobile,Organic Search,Product Page,121,7,0,1
192,1891,18-24,Female,Mobile,Direct,Blog,184,6,0,1
193,1460,18-24,Male,Desktop,Referral,Cart,95,3,0,0
194,1690,35-44,Male,Mobile,Organic Search,Pricing,76,5,0,0
195,1574,25-34,Female,Desktop,Social Media,Pricing,45,6,0,1
196,1863,18-24,Female,Desktop,Organic Search,Cart,264,3,1,1
197,1742,55+,Female,Mobile,Organic Search,Product Page,214,5,1,1
198,1240,25-34,Male,Desktop,Organic Search,Homepage,80,8,1,1
199,1563,18-24,Male,Tablet,Direct,Homepage,69,4,1,1
200,1095,25-34,Male,Mobile,Social Media,Product Page,0,3,1,1
201,1899,35-44,Female,Mobile,Referral,Product Page,11,6,1,1
202,1733,18-24,Female,Desktop,Direct,Product Page,175,4,1,1
203,1484,25-34,Female,Desktop,Referral,Product Page,130,5,0,1
204,1406,45-54,Male,Mobile,Organic Search,Cart,102,4,1,1
205,1230,25-34,Male,Mobile,Organic Search,Product Page,316,4,1,1
206,1748,25-34,Male,Mobile,Paid Ads,Pricing,126,9,0,1
207,1654,25-34,Male,Mobile,Direct,Cart,87,5,1,1
208,1170,18-24,Male,Mobile,Referral,Product Page,31,5,0,1
209,1540,18-24,Female,Tablet,Organic Search,Product Page,309,6,0,1
210,1035,25-34,Female,Desktop,Social Media,Blog,154,3,0,1
211,1524,18-24,Female,Mobile,Direct,Blog,17,4,0,1
212,1159,18-24,Female,Desktop,Organic Search,Product Page,188,3,0,1
213,1838,45-54,Male,Desktop,Social Media,Homepage,99,1,0,1
214,1698,55+,Female,Mobile,Social Media,Homepage,300,6,1,1
215,1242,35-44,Male,Mobile,Organic Search,Homepage,452,4,1,1
216,1085,45-54,Other,Mobile,Organic Search,Homepage,165,6,1,1
217,1795,18-24,Female,Desktop,Organic Search,Homepage,236,5,0,1
218,1577,55+,Male,Mobile,Organic Search,Product Page,10,7,0,1
219,1681,18-24,Other,Tablet,Direct,Cart,147,8,1,1
220,1556,55+,Male,Mobile,Organic Search,Blog,253,5,0,1
221,1573,55+,Female,Mobile,Organic Search,Cart,123,6,0,0
222,1952,35-44,Female,Mobile,Referral,Blog,162,2,0,1
223,1645,55+,Male,Mobile,Social Media,Blog,412,3,0,1
224,1795,25-34,Male,Desktop,Social Media,Product Page,39,5,1,1
225,1027,25-34,Female,Tablet,Direct,Product Page,18,10,1,1
226,1619,25-34,Female,Mobile,Paid Ads,Pricing,211,4,0,1
227,1555,25-34,Male,Tablet,Organic Search,Cart,311,5,0,1
228,1339,18-24,Other,Desktop,Social Media,Product Page,342,8,0,1
229,1797,35-44,Male,Mobile,Direct,Homepage,184,4,0,1
230,1957,55+,Male,Desktop,Organic Search,Blog,322,6,0,1
231,1330,18-24,Male,Mobile,Direct,Homepage,217,2,0,1
232,1639,35-44,Male,Mobile,Paid Ads,Homepage,16,3,1,1
233,1505,45-54,Male,Mobile,Paid Ads,Pricing,258,2,1,1
234,1347,45-54,Other,Desktop,Organic Search,Product Page,35,6,1,1
235,1472,55+,Male,Mobile,Organic Search,Blog,48,3,1,1
236,1230,25-34,Male,Desktop,Paid Ads,Cart,90,7,0,1
237,1189,55+,Male,Desktop,Social Media,Product Page,67,4,0,1
238,1224,35-44,Female,Mobile,Organic Search,Product Page,69,6,0,1
239,1384,18-24,Female,Mobile,Direct,Homepage,33,5,1,1
240,1376,25-34,Male,Mobile,Organic Search,Product Page,62,3,1,1
241,1282,35-44,Male,Mobile,Organic Search,Blog,3,4,0,1
242,1957,18-24,Male,Mobile,Referral,Product Page,115,4,0,1
243,1632,35-44,Male,Mobile,Organic Search,Homepage,263,2,0,1
244,1627,35-44,Male,Mobile,Organic Search,Homepage,356,6,0,1
245,1972,18-24,Male,Mobile,Organic Search,Product Page,309,3,0,1
246,1744,25-34,Male,Mobile,Direct,Product Page,96,6,1,1
247,1258,35-44,Female,Mobile,Organic Search,Blog,235,4,0,1
248,1358,25-34,Male,Desktop,Social Media,Product Page,61,5,1,1
249,1709,18-24,Other,Tablet,Direct,Homepage,10,4,0,1
250,1455,18-24,Other,Mobile,Referral,Product Page,202,6,0,1
251,1410,25-34,Female,Mobile,Organic Search,Cart,188,7,0,1
252,1648,45-54,Male,Mobile,Referral,Homepage,291,8,1,1
253,1317,18-24,Male,Mobile,Organic Search,Blog,172,5,0,1
254,1676,35-44,Male,Mobile,Direct,Product Page,30,4,1,1
255,1224,18-24,Female,Desktop,Social Media,Blog,345,2,0,1
256,1818,25-34,Female,Tablet,Organic Search,Homepage,177,2,1,1
257,1233,45-54,Female,Mobile,Direct,Cart,296,4,0,1
258,1683,35-44,Other,Desktop,Organic Search,Product Page,267,5,0,0
259,1663,18-24,Male,Mobile,Organic Search,Pricing,63,7,0,1
260,1974,25-34,Female,Mobile,Social Media,Homepage,13,3,0,1
261,1826,18-24,Male,Mobile,Direct,Blog,34,5,0,1
262,1373,25-34,Male,Mobile,Organic Search,Blog,17,5,0,1
263,1671,35-44,Male,Mobile,Organic Search,Product Page,50,5,1,1
264,1607,18-24,Male,Mobile,Organic Search,Product Page,110,6,1,1
265,1471,25-34,Female,Mobile,Social Media,Blog,427,4,0,1
266,1232,25-34,Male,Mobile,Social Media,Homepage,370,2,1,1
267,1691,45-54,Female,Desktop,Organic Search,Blog,228,5,1,1
268,1112,55+,Female,Tablet,Organic Search,Homepage,4,7,1,1
269,1829,18-24,Female,Mobile,Social Media,Homepage,75,5,0,1
270,1496,35-44,Male,Mobile,Direct,Blog,206,11,0,0
271,1441,25-34,Female,Mobile,Direct,Homepage,24,3,0,1
272,1563,25-34,Female,Desktop,Referral,Cart,290,7,0,1
273,1267,35-44,Male,Mobile,Organic Search,Pricing,442,10,0,1
274,1509,45-54,Male,Mobile,Paid Ads,Product Page,78,4,0,1
275,1806,55+,Female,Mobile,Organic Search,Pricing,220,8,0,1
276,1385,25-34,Female,Mobile,Paid Ads,Pricing,28,4,0,1
277,1386,25-34,Female,Mobile,Organic Search,Homepage,211,4,0,1
278,1112,35-44,Female,Tablet,Social Media,Pricing,3,6,0,1
279,1612,25-34,Female,Desktop,Social Media,Homepage,29,4,0,1
280,1624,25-34,Male,Mobile,Social Media,Product Page,222,6,0,1
281,1951,25-34,Male,Mobile,Referral,Product Page,223,4,0,1
282,1080,35-44,Male,Mobile,Direct,Blog,184,2,0,1
283,1698,18-24,Female,Mobile,Paid Ads,Homepage,116,5,1,1
284,1112,18-24,Female,Desktop,Direct,Homepage,202,6,0,1
285,1001,45-54,Male,Mobile,Social Media,Product Page,267,6,0,1
286,1641,18-24,Female,Mobile,Organic Search,Product Page,611,10,1,1
287,1219,25-34,Male,Mobile,Paid Ads,Blog,395,7,0,1
288,1565,18-24,Male,Desktop,Social Media,Blog,284,3,0,1
289,1854,18-24,Male,Desktop,Direct,Homepage,213,4,0,1
290,1996,18-24,Male,Mobile,Social Media,Homepage,153,8,0,1
291,1735,18-24,Male,Mobile,Social Media,Product Page,23,4,0,1
292,1224,45-54,Male,Mobile,Paid Ads,Product Page,32,6,0,1
293,1384,25-34,Male,Tablet,Organic Search,Homepage,308,1,0,1
294,1402,55+,Male,Mobile,Organic Search,Product Page,292,3,0,1
295,1637,25-34,Female,Mobile,Organic Search,Product Page,171,3,0,1
296,1129,25-34,Male,Mobile,Direct,Homepage,103,9,1,1
297,1052,25-34,Other,Desktop,Organic Search,Product Page,4,9,0,0
298,1683,25-34,Male,Mobile,Organic Search,Blog,71,6,0,1
299,1729,35-44,Male,Mobile,Organic Search,Product Page,98,5,1,1
300,1671,25-34,Male,Mobile,Social Media,Pricing,119,7,0,0
301,1709,25-34,Male,Desktop,Social Media,Homepage,476,4,0,1
302,1415,45-54,Female,Desktop,Organic Search,Product Page,20,8,0,1
303,1246,45-54,Male,Desktop,Paid Ads,Product Page,131,4,0,1
304,1835,45-54,Other,Mobile,Paid Ads,Blog,82,9,0,1
305,1438,25-34,Female,Mobile,Organic Search,Blog,830,7,0,1
306,1202,35-44,Female,Tablet,Direct,Blog,356,6,0,0
307,1183,25-34,Female,Mobile,Social Media,Blog,103,5,1,1
308,1122,25-34,Female,Desktop,Organic Search,Homepage,1457,5,0,1
309,1400,18-24,Male,Desktop,Organic Search,Blog,129,5,0,1
310,1766,25-34,Female,Mobile,Social Media,Blog,32,4,1,1
311,1293,18-24,Male,Mobile,Social Media,Cart,146,5,0,0
312,1279,25-34,Male,Desktop,Organic Search,Blog,46,2,0,1
313,1836,45-54,Female,Desktop,Referral,Blog,182,3,1,1
314,1883,18-24,Female,Mobile,Social Media,Product Page,498,3,0,0
315,1609,18-24,Female,Mobile,Direct,Pricing,277,8,0,0
316,1197,18-24,Male,Mobile,Organic Search,Cart,57,5,0,1
317,1981,45-54,Female,Mobile,Social Media,Blog,63,6,1,1
318,1906,25-34,Male,Mobile,Organic Search,Product Page,12,4,0,1
319,1510,25-34,Male,Mobile,Social Media,Homepage,60,4,0,1
320,1751,45-54,Male,Tablet,Direct,Blog,17,5,0,1
321,1143,45-54,Male,Desktop,Direct,Blog,124,3,0,1
322,1608,25-34,Male,Desktop,Social Media,Blog,221,8,0,1
323,1200,35-44,Female,Mobile,Direct,Homepage,250,5,0,1
324,1123,35-44,Female,Mobile,Paid Ads,Blog,11,5,0,1
325,1186,35-44,Male,Tablet,Direct,Homepage,74,5,0,1
326,1325,18-24,Female,Mobile,Organic Search,Blog,61,6,0,1
327,1463,45-54,Female,Mobile,Direct,Homepage,19,2,0,1
328,1348,25-34,Female,Mobile,Organic Search,Blog,81,6,0,1
329,1770,25-34,Female,Desktop,Referral,Homepage,64,6,0,1
330,1659,25-34,Male,Desktop,Social Media,Homepage,181,6,1,1
331,1763,18-24,Female,Mobile,Social Media,Product Page,386,6,0,1
332,1954,18-24,Female,Desktop,Organic Search,Homepage,109,5,0,1
333,1931,35-44,Male,Mobile,Social Media,Blog,247,5,0,1
334,1402,18-24,Male,Mobile,Paid Ads,Cart,28,7,0,1
335,1345,25-34,Female,Desktop,Organic Search,Cart,405,3,1,1
336,1962,25-34,Male,Desktop,Social Media,Homepage,29,5,0,0
337,1510,18-24,Other,Mobile,Paid Ads,Pricing,38,2,0,1
338,1146,55+,Male,Mobile,Social Media,Product Page,20,3,0,1
339,1147,18-24,Female,Desktop,Social Media,Cart,66,4,1,1
340,1863,25-34,Male,Desktop,Social Media,Blog,144,2,0,1
341,1710,25-34,Female,Desktop,Social Media,Homepage,796,4,1,1
342,1819,18-24,Female,Mobile,Organic Search,Product Page,283,5,0,1
343,1488,18-24,Male,Tablet,Organic Search,Product Page,86,5,0,1
344,1928,35-44,Female,Tablet,Direct,Blog,154,4,0,1
345,1935,55+,Male,Mobile,Paid Ads,Product Page,175,8,1,1
346,1639,18-24,Male,Desktop,Organic Search,Blog,311,5,0,1
347,1550,35-44,Male,Mobile,Organic Search,Product Page,240,6,0,1
348,1337,35-44,Female,Mobile,Social Media,Cart,151,4,0,1
349,1871,45-54,Male,Desktop,Referral,Cart,199,5,1,0
350,1640,25-34,Male,Mobile,Organic Search,Product Page,246,4,0,1
351,1778,25-34,Male,Mobile,Referral,Blog,25,9,1,1
352,1987,25-34,Female,Desktop,Organic Search,Pricing,40,3,0,1
353,1952,35-44,Female,Mobile,Paid Ads,Pricing,209,7,0,0
354,1472,45-54,Male,Mobile,Social Media,Homepage,341,6,0,1
355,1945,18-24,Male,Tablet,Direct,Product Page,94,6,0,0
356,1150,25-34,Other,Mobile,Social Media,Product Page,703,1,0,1
357,1414,45-54,Male,Mobile,Direct,Product Page,43,7,1,1
358,1989,45-54,Female,Mobile,Organic Search,Homepage,97,4,0,1
359,1297,55+,Female,Mobile,Organic Search,Product Page,85,3,0,1
360,1610,35-44,Female,Desktop,Social Media,Blog,479,6,0,1
361,1262,25-34,Male,Desktop,Referral,Product Page,60,2,0,1
362,1763,25-34,Female,Mobile,Direct,Blog,114,2,0,0
363,1143,35-44,Female,Desktop,Social Media,Homepage,37,4,0,1
364,1345,18-24,Female,Mobile,Social Media,Pricing,132,5,1,1
365,1623,25-34,Male,Mobile,Organic Search,Cart,350,4,1,1
366,1571,35-44,Male,Desktop,Referral,Product Page,65,4,0,1
367,1880,18-24,Male,Desktop,Direct,Pricing,299,5,0,1
368,1001,35-44,Female,Mobile,Direct,Homepage,436,2,0,1
369,1896,25-34,Female,Mobile,Social Media,Blog,13,3,0,1
370,1303,55+,Male,Mobile,Paid Ads,Homepage,254,4,0,1
371,1253,18-24,Female,Mobile,Referral,Product Page,53,4,0,0
372,1651,25-34,Male,Mobile,Direct,Product Page,34,5,1,1
373,1452,35-44,Female,Desktop,Social Media,Product Page,165,5,0,1
374,1036,25-34,Other,Mobile,Direct,Product Page,220,6,0,1
375,1159,35-44,Male,Desktop,Social Media,Product Page,90,2,0,1
376,1008,35-44,Male,Mobile,Social Media,Product Page,7,7,0,1
377,1232,18-24,Male,Mobile,Organic Search,Pricing,430,3,0,1
378,1098,25-34,Female,Mobile,Social Media,Product Page,236,8,0,1
379,1658,25-34,Female,Mobile,Social Media,Homepage,57,5,0,1
380,1815,25-34,Other,Desktop,Social Media,Product Page,123,3,1,1
381,1207,45-54,Male,Mobile,Organic Search,Pricing,5,4,0,1
382,1130,45-54,Other,Mobile,Direct,Product Page,74,8,1,1
383,1403,35-44,Male,Desktop,Social Media,Product Page,133,6,0,1
384,1151,35-44,Female,Desktop,Organic Search,Product Page,131,3,1,1
385,1053,25-34,Male,Mobile,Social Media,Product Page,42,4,1,1
386,1119,45-54,Female,Mobile,Referral,Homepage,269,6,1,1
387,1672,35-44,Female,Desktop,Direct,Product Page,63,4,1,1
388,1919,35-44,Female,Tablet,Organic Search,Homepage,156,2,0,1
389,1627,45-54,Female,Desktop,Paid Ads,Homepage,57,7,0,1
390,1586,25-34,Male,Mobile,Organic Search,Homepage,99,9,1,0
391,1624,45-54,Male,Tablet,Paid Ads,Product Page,41,7,0,1
392,1967,18-24,Female,Mobile,Organic Search,Product Page,180,3,0,1
393,1419,25-34,Male,Mobile,Organic Search,Cart,99,6,1,1
394,1421,25-34,Male,Desktop,Social Media,Product Page,2,6,0,1
395,1103,55+,Female,Mobile,Social Media,Blog,5,3,0,1
396,1851,45-54,Female,Mobile,Social Media,Homepage,114,5,0,1
397,1253,35-44,Male,Mobile,Direct,Homepage,36,4,1,0
398,1226,35-44,Male,Mobile,Referral,Pricing,158,5,1,1
